Dataset,Order,Feature,Classifier,Chance,Conventional,Ensemble
Neuromod,0.0,DiFuMo,LinearSVC,25.0,60.2,77.61
Neuromod,0.0,DiFuMo,RandomForest,25.0,53.0,76.86
Neuromod,0.0,Voxels,LinearSVC,25.0,55.55,79.2
Neuromod,0.0,Voxels,RandomForest,25.0,52.72,76.89
Forrest,1.0,DiFuMo,LinearSVC,20.0,26.44,28.9
Forrest,1.0,DiFuMo,RandomForest,20.0,28.02,32.7
Forrest,1.0,Voxels,LinearSVC,20.0,23.64,29.2
Forrest,1.0,Voxels,RandomForest,20.0,28.81,33.04
BOLD5000,2.0,DiFuMo,LinearSVC,25.0,35.67,28.75
BOLD5000,2.0,DiFuMo,RandomForest,25.0,32.94,27.93
BOLD5000,2.0,Voxels,LinearSVC,25.0,30.64,29.9
BOLD5000,2.0,Voxels,RandomForest,25.0,28.42,27.99
RSVP-IBC,3.0,Voxels,RandomForest,16.67,36.21,39.47
RSVP-IBC,3.0,Voxels,LinearSVC,16.67,36.31,37.66
RSVP-IBC,3.0,DiFuMo,RandomForest,16.67,36.26,39.57
RSVP-IBC,3.0,DiFuMo,LinearSVC,16.67,36.44,35.72
AOMIC,4.0,Voxels,RandomForest,25.0,43.07,51.56
AOMIC,4.0,Voxels,LinearSVC,25.0,46.49,52.1
AOMIC,4.0,DiFuMo,RandomForest,25.0,43.09,51.19
AOMIC,4.0,DiFuMo,LinearSVC,25.0,45.37,51.45
